taxonID,nameType,acceptedNameUsageID,acceptedNameUsage,nomenclaturalStatus,nomIlleg,nomInval,taxonomicStatus,proParte,scientificName,scientificNameID,canonicalName,scientificNameAuthorship,parentNameUsageID,taxonRank,taxonRankSortOrder,kingdom,class,subclass,family,taxonConceptID,nameAccordingTo,nameAccordingToID,taxonRemarks,taxonDistribution,higherClassification,firstHybridParentName,firstHybridParentNameID,secondHybridParentName,secondHybridParentNameID,nomenclaturalCode,created,modified,datasetName,dataSetID,license,ccAttributionIRI
https://id.biodiversity.org.au/instance/algae/20180916,scientific,https://id.biodiversity.org.au/taxon/algae/20235186,Protoperidinium pentagonum (Gran) Balech,,f,f,nomenclatural synonym,f,Peridinium pentagonum Gran,https://id.biodiversity.org.au/name/algae/20158757,Peridinium pentagonum,Gran,,Species,190,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20180916,"McCarthy, P. (Comp.) (2012), Census of Australian Marine Dinoflagellates",https://id.biodiversity.org.au/reference/aani/20154095,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|pentagonum,,,,,ICN,2012-06-29 12:00:00+10,2023-06-07 06:00:06.153+10,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/instance/algae/20180916
https://id.biodiversity.org.au/instance/algae/20235184,scientific,https://id.biodiversity.org.au/taxon/algae/20235186,Protoperidinium pentagonum (Gran) Balech,,f,f,taxonomic synonym,f,Peridinium sinuosum (Lemmerm.) Lemmerm.,https://id.biodiversity.org.au/name/algae/20159165,Peridinium sinuosum,(Lemmerm.) Lemmerm.,,Species,190,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235184,"McCarthy, P. (Comp.) (2012), Census of Australian Marine Dinoflagellates",https://id.biodiversity.org.au/reference/aani/20154095,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|pentagonum,,,,,ICN,2012-07-27 12:22:26+10,2022-06-15 06:00:49.851+10,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/instance/algae/20235184
https://id.biodiversity.org.au/taxon/algae/20235208,scientific,https://id.biodiversity.org.au/taxon/algae/20235208,Protoperidinium punctulatum (Paulsen) Balech,,f,f,accepted,f,Protoperidinium punctulatum (Paulsen) Balech,https://id.biodiversity.org.au/name/algae/20158269,Protoperidinium punctulatum,(Paulsen) Balech,https://id.biodiversity.org.au/taxon/algae/20235321,Species,190,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235204,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|punctulatum,,,,,ICN,2012-06-29 12:00:00+10,2020-01-31 16:12:01.955+11,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/taxon/algae/20235208
https://id.biodiversity.org.au/instance/algae/20235205,scientific,https://id.biodiversity.org.au/taxon/algae/20235208,Protoperidinium punctulatum (Paulsen) Balech,,f,f,nomenclatural synonym,f,Peridinium punctulatum Paulsen,https://id.biodiversity.org.au/name/algae/20158758,Peridinium punctulatum,Paulsen,,Species,190,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235205,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|punctulatum,,,,,ICN,2012-06-29 12:00:00+10,2020-01-31 16:12:04.176+11,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/instance/algae/20235205
https://id.biodiversity.org.au/instance/algae/20235206,scientific,https://id.biodiversity.org.au/taxon/algae/20235208,Protoperidinium punctulatum (Paulsen) Balech,,f,f,nomenclatural synonym,f,Peridinium subinerme var. punctulatum (Paulsen) J.Schiller,https://id.biodiversity.org.au/name/algae/20160391,Peridinium subinerme var. punctulatum,(Paulsen) J.Schiller,,Varietas,210,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235206,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|punctulatum,,,,,ICN,2012-07-27 16:34:45+10,2022-06-15 06:01:38.879+10,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/instance/algae/20235206
https://id.biodiversity.org.au/instance/algae/20235557,scientific,https://id.biodiversity.org.au/taxon/algae/20235217,Protoperidinium pyriforme (Paulsen) Balech,,f,f,nomenclatural synonym,f,Peridinium steinii f. pyriforme Paulsen,https://id.biodiversity.org.au/name/algae/20158759,Peridinium steinii f. pyriforme,Paulsen,,Forma,230,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235557,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|pyriforme,,,,,ICN,2012-06-29 12:00:00+10,2018-12-22 06:08:37.357+11,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/instance/algae/20235557
https://id.biodiversity.org.au/taxon/algae/20235217,scientific,https://id.biodiversity.org.au/taxon/algae/20235217,Protoperidinium pyriforme (Paulsen) Balech,,f,f,accepted,f,Protoperidinium pyriforme (Paulsen) Balech,https://id.biodiversity.org.au/name/algae/20158270,Protoperidinium pyriforme,(Paulsen) Balech,https://id.biodiversity.org.au/taxon/algae/20235321,Species,190,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235209,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|pyriforme,,,,,ICN,2012-06-29 12:00:00+10,2020-01-31 16:12:01.963+11,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/taxon/algae/20235217
https://id.biodiversity.org.au/instance/algae/20235211,scientific,https://id.biodiversity.org.au/taxon/algae/20235217,Protoperidinium pyriforme (Paulsen) Balech,,f,f,nomenclatural synonym,f,Peridinium pyriforme (Paulsen) Paulsen,https://id.biodiversity.org.au/name/algae/20158760,Peridinium pyriforme,(Paulsen) Paulsen,,Species,190,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235211,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|pyriforme,,,,,ICN,2012-06-29 12:00:00+10,2020-01-31 16:12:04.187+11,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/instance/algae/20235211
https://id.biodiversity.org.au/taxon/algae/20235090,scientific,https://id.biodiversity.org.au/taxon/algae/20235090,Protoperidinium quarnerense (Schröd.) Balech,,f,f,accepted,f,Protoperidinium quarnerense (Schröd.) Balech,https://id.biodiversity.org.au/name/algae/20158271,Protoperidinium quarnerense,(Schröd.) Balech,https://id.biodiversity.org.au/taxon/algae/20235321,Species,190,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235086,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|quarnerense,,,,,ICN,2012-06-29 12:00:00+10,2022-06-15 06:01:54.462+10,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/taxon/algae/20235090
https://id.biodiversity.org.au/instance/algae/20235087,scientific,https://id.biodiversity.org.au/taxon/algae/20235090,Protoperidinium quarnerense (Schröd.) Balech,,f,f,nomenclatural synonym,f,Peridinium globulus var. quarnerensis Schröd.,https://id.biodiversity.org.au/name/algae/20158764,Peridinium globulus var. quarnerensis,Schröd.,,Varietas,210,Eukaryota,Dinophyceae,,Protoperidiniaceae,https://id.biodiversity.org.au/instance/algae/20235087,"Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org",https://id.biodiversity.org.au/reference/aani/20229575,,,Eukaryota|Dinophyta|Dinophyceae|Peridiniales|Protoperidiniaceae|Protoperidinium|quarnerense,,,,,ICN,2012-06-29 12:00:00+10,2022-06-15 06:01:53.592+10,AAL,https://id.biodiversity.org.au/tree/20239996,http://creativecommons.org/licenses/by/3.0/,https://id.biodiversity.org.au/instance/algae/20235087
