ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/lichen/30020895	species	Acarospora wilsonii H.Magn.		Acarospora	wilsonii		H.Magn.	botanical	
https://id.biodiversity.org.au/name/lichen/30016221	family	Acarosporaceae	Acarosporaceae					botanical	
https://id.biodiversity.org.au/name/lichen/30016220	order	Acarosporales	Acarosporales					botanical	
https://id.biodiversity.org.au/name/lichen/30016219	subclass	Acarosporomycetidae	Acarosporomycetidae					botanical	
https://id.biodiversity.org.au/name/lichen/30021759	genus	Acolium (Ach.) Gray	Acolium				(Ach.) Gray	botanical	
https://id.biodiversity.org.au/name/lichen/30021758	species	Acolium parasemum Müll.Arg.		Acolium	parasemum		Müll.Arg.	botanical	
https://id.biodiversity.org.au/name/lichen/30021760	species	Acolium subocellatum Müll.Arg.		Acolium	subocellatum		Müll.Arg.	botanical	
https://id.biodiversity.org.au/name/lichen/30016328	family	Adelococcaceae	Adelococcaceae					botanical	
https://id.biodiversity.org.au/name/lichen/30016366	genus	Aderkomyces Bat.	Aderkomyces				Bat.	botanical	
https://id.biodiversity.org.au/name/lichen/30016367	species	Aderkomyces albostrigosus (R.Sant.) Lücking, Sérus. & Vězda		Aderkomyces	albostrigosus		(R.Sant.) Lücking, Sérus. & Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30016368	species	Aderkomyces guatemalensis (Lücking & Barillas) Lücking, Sérus. & Vězda		Aderkomyces	guatemalensis		(Lücking & Barillas) Lücking, Sérus. & Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30016369	species	Aderkomyces papilliferus (Lücking) Lücking, Sérus. & Vězda		Aderkomyces	papilliferus		(Lücking) Lücking, Sérus. & Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30016370	species	Aderkomyces planus (Vězda) Lücking, Sérus. & Vězda		Aderkomyces	planus		(Vězda) Lücking, Sérus. & Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30016371	species	Aderkomyces verrucosus (Sérus.) Lücking, Sérus. & Vězda		Aderkomyces	verrucosus		(Sérus.) Lücking, Sérus. & Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30138470	family	Agaricaceae	Agaricaceae					botanical	
https://id.biodiversity.org.au/name/lichen/30022392	genus	Agaricus L.	Agaricus				L.	botanical	
https://id.biodiversity.org.au/name/lichen/30022391	species	Agaricus affixus Berk.		Agaricus	affixus		Berk.	botanical	
https://id.biodiversity.org.au/name/lichen/30016372	genus	Agonimia Zahlbr.	Agonimia				Zahlbr.	botanical	
https://id.biodiversity.org.au/name/lichen/30241170	species	Agonimia abscondita P.M.McCarthy & Elix		Agonimia	abscondita		P.M.McCarthy & Elix	botanical	
