	ID	citation
0	https://id.biodiversity.org.au/reference/lichen/30005164	P.McCarthy (Comp.) (2016), Checklist of the Lichens of Australia and its Island Territories
4	https://id.biodiversity.org.au/reference/lichen/30016183	P.McCarthy (Comp.) (2016), Checklist of Australian Lichenicolous Fungi
33	https://id.biodiversity.org.au/reference/lichen/30241073	P.McCarthy (Comp.) (2020), Checklist of the Lichens of Australia and its Island Territories
48	https://id.biodiversity.org.au/reference/lichen/30204415	P.McCarthy (Comp.) (2018), Checklist of the Lichens of Australia and its Island Territories
261	https://id.biodiversity.org.au/reference/lichen/30168779	P.McCarthy (Comp.) (2017), Checklist of the Lichens of Australia and its Island Territories
336	https://id.biodiversity.org.au/reference/lichen/30237443	P.McCarthy (Comp.) (2017), Checklist of Australian Lichenicolous Fungi
6622	https://id.biodiversity.org.au/reference/lichen/30238223	P.McCarthy (Comp.) (2018), Checklist of Australian Lichenicolous Fungi
