taxonID	scientificName	taxonomicStatus	acceptedNameUsage
https://id.biodiversity.org.au/instance/lichen/30052337	Parmelia pseudovirens Gyeln.	taxonomic synonym	Parmotrema reticulatum (Taylor) M.Choisy
https://id.biodiversity.org.au/instance/lichen/30052341	Parmelia macquariensis C.W.Dodge	taxonomic synonym	Parmotrema reticulatum (Taylor) M.Choisy
https://id.biodiversity.org.au/instance/lichen/30054241	Parmelia reticulata Taylor	nomenclatural synonym	Parmotrema reticulatum (Taylor) M.Choisy
https://id.biodiversity.org.au/instance/lichen/30054242	Parmelia rimulosa C.W.Dodge	nomenclatural synonym	Parmotrema rimulosum (C.W.Dodge) Hale
https://id.biodiversity.org.au/instance/lichen/30054243	Parmelia robusta Degel.	nomenclatural synonym	Parmotrema robustum (Degel.) Hale
https://id.biodiversity.org.au/instance/lichen/30054244	Parmelia saccatiloba Taylor	nomenclatural synonym	Parmotrema saccatilobum (Taylor) Hale
https://id.biodiversity.org.au/instance/lichen/30054245	Parmelia sancti-angelii Lynge	nomenclatural synonym	Parmotrema sancti-angelii (Lynge) Hale
https://id.biodiversity.org.au/instance/lichen/30054246	Rimelia stictica Louwhoff & Elix	nomenclatural synonym	Parmotrema sticticum (Louwhoff & Elix) O.Blanco, A.Crespo, Divakar, Elix & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30052350	Rimeliella subcaperata (Kremp.) Kurok.	nomenclatural synonym	Parmotrema subcaperatum (Kremp.) Hale
https://id.biodiversity.org.au/instance/lichen/30052351	Canomaculina subcaperata (Kremp.) Elix	nomenclatural synonym	Parmotrema subcaperatum (Kremp.) Hale
https://id.biodiversity.org.au/instance/lichen/30054247	Parmelia subcaperata Kremp.	nomenclatural synonym	Parmotrema subcaperatum (Kremp.) Hale
https://id.biodiversity.org.au/instance/lichen/30052353	Parmelia cyathina Stirt.	taxonomic synonym	Parmotrema subrugatum (Kremp.) Hale
https://id.biodiversity.org.au/instance/lichen/30054248	Parmelia subrugata Kremp.	nomenclatural synonym	Parmotrema subrugatum (Kremp.) Hale
https://id.biodiversity.org.au/instance/lichen/30052355	Rimeliella subsumpta (Nyl.) Kurok.	nomenclatural synonym	Parmotrema subsumptum (Nyl.) Hale
https://id.biodiversity.org.au/instance/lichen/30052356	Canomaculina subsumpta (Nyl.) Elix	nomenclatural synonym	Parmotrema subsumptum (Nyl.) Hale
https://id.biodiversity.org.au/instance/lichen/30054249	Parmelia subsumpta Nyl.	nomenclatural synonym	Parmotrema subsumptum (Nyl.) Hale
https://id.biodiversity.org.au/instance/lichen/30052358	Rimeliella subtinctoria (Zahlbr.) Kurok.	nomenclatural synonym	Parmotrema subtinctorium (Zahlbr.) Hale
https://id.biodiversity.org.au/instance/lichen/30052360	Parmelia virens f. isidiosa Müll.Arg.	taxonomic synonym	Parmotrema subtinctorium (Zahlbr.) Hale
https://id.biodiversity.org.au/instance/lichen/30052359	Canomaculina subtinctoria (Zahlbr.) Elix	nomenclatural synonym	Parmotrema subtinctorium (Zahlbr.) Hale
https://id.biodiversity.org.au/instance/lichen/30054250	Parmelia subtinctoria Zahlbr.	nomenclatural synonym	Parmotrema subtinctorium (Zahlbr.) Hale
https://id.biodiversity.org.au/instance/lichen/30052362	Parmelia brisbanensis Stirt.	taxonomic synonym	Parmotrema sulphuratum (Nees & Flot.) Hale
https://id.biodiversity.org.au/instance/lichen/30054251	Parmelia sulphurata Nees & Flot.	nomenclatural synonym	Parmotrema sulphuratum (Nees & Flot.) Hale
https://id.biodiversity.org.au/instance/lichen/30054252	Parmelia tinctoria Despr. ex Nyl.	nomenclatural synonym	Parmotrema tinctorum (Despr. ex Nyl.) Hale
https://id.biodiversity.org.au/instance/lichen/30054253	Parmelia ultralucens Krog	nomenclatural synonym	Parmotrema ultralucens (Krog) Hale
https://id.biodiversity.org.au/instance/lichen/30052367	Parmelia latissima var. corniculata Kremp.	taxonomic synonym	Parmotrema zollingeri (Hepp) Hale
https://id.biodiversity.org.au/instance/lichen/30054254	Parmelia zollingeri Hepp	nomenclatural synonym	Parmotrema zollingeri (Hepp) Hale
https://id.biodiversity.org.au/instance/lichen/30053715	Nesolechia rufa Müll.Arg.	nomenclatural synonym	Phacopsis rufa (Müll.Arg.) Triebel & Rambold
https://id.biodiversity.org.au/instance/lichen/30054300	Maronina australiensis Hafellner & R.W.Rogers	nomenclatural synonym	Protoparmelia australiensis (Hafellner & R.W.Rogers) Kantvilas, Papong & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30052637	Lecanora badia (Hoffm.) Ach.	nomenclatural synonym	Protoparmelia badia (Hoffm.) Hafellner
https://id.biodiversity.org.au/instance/lichen/30054301	Maronina hesperia Kantvilas & Elix	nomenclatural synonym	Protoparmelia hesperia (Kantvilas & Elix) Kantvilas, Papong & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30052639	Lecidea multifera Nyl.	nomenclatural synonym	Protoparmelia multifera (Kantvilas & Elix) Kantvilas, Papong & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30052640	Maronina multifera (Nyl.) Hafellner & R.W.Rogers	nomenclatural synonym	Protoparmelia multifera (Kantvilas & Elix) Kantvilas, Papong & Lumbsch
https://id.biodiversity.org.au/instance/lichen/30052641	Ephebe pubescens (L.) Fr.	nomenclatural synonym	Pseudephebe pubescens (L.) M.Choisy
https://id.biodiversity.org.au/instance/lichen/30052642	Alectoria pubescens (L.) R.Howe	nomenclatural synonym	Pseudephebe pubescens (L.) M.Choisy
https://id.biodiversity.org.au/instance/lichen/30052643	Alectoria lanata (Neck.) Nyl.	taxonomic synonym	Pseudephebe pubescens (L.) M.Choisy
https://id.biodiversity.org.au/instance/lichen/30052753	Parmelia borreri (Sm.) Turner	nomenclatural synonym	Punctelia borreri (Sm.) Krog
https://id.biodiversity.org.au/instance/lichen/30052754	Parmelia ulophylla (Ach.) F.Wilson	taxonomic synonym	Punctelia jeckeri (Roum.) Kalb
https://id.biodiversity.org.au/instance/lichen/30054320	Parmelia pseudocoralloidea Gyeln.	nomenclatural synonym	Punctelia pseudocoralloidea (Gyeln.) Elix & Kantvilas
https://id.biodiversity.org.au/instance/lichen/30052758	Parmelia hypoleuca f. coralloidea Müll.Arg.	taxonomic synonym	Punctelia pseudocoralloidea (Gyeln.) Elix & Kantvilas
https://id.biodiversity.org.au/instance/lichen/30052759	Parmelia novae-hollandiae f. coralloidea Zahlbr.	taxonomic synonym	Punctelia pseudocoralloidea (Gyeln.) Elix & Kantvilas
https://id.biodiversity.org.au/instance/lichen/30052760	Parmelia victoriana f. coralloidea Zahlbr.	taxonomic synonym	Punctelia pseudocoralloidea (Gyeln.) Elix & Kantvilas
https://id.biodiversity.org.au/instance/lichen/30054321	Parmelia subalbicans Stirt.	nomenclatural synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30052762	Parmelina subalbicans (Stirt.) D.J.Galloway	nomenclatural synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30052763	Parmelia polycarpa Taylor	taxonomic synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30052764	Parmelia hypoleuca Müll.Arg.	taxonomic synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30052765	Parmelia polycarpina Zahlbr.	taxonomic synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30052766	Parmelia victoriana Zahlbr.	taxonomic synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30052767	Parmelia novae-hollandiae Zahlbr.	taxonomic synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30052768	Punctelia pallescens Kurok.	taxonomic synonym	Punctelia subalbicans (Stirt.) D.J.Galloway & Elix
https://id.biodiversity.org.au/instance/lichen/30054322	Parmelia subflava Taylor	nomenclatural synonym	Punctelia subflava (Taylor) Elix & J.Johnst.
https://id.biodiversity.org.au/instance/lichen/30052770	Parmelia laceratula Nyl.	taxonomic synonym	Punctelia subflava (Taylor) Elix & J.Johnst.
https://id.biodiversity.org.au/instance/lichen/30052771	Parmelia laceratula var. minor Shirley	taxonomic synonym	Punctelia subflava (Taylor) Elix & J.Johnst.
https://id.biodiversity.org.au/instance/lichen/30052772	Parmelia subflava var. minor (Shirley) Zahlbr.	taxonomic synonym	Punctelia subflava (Taylor) Elix & J.Johnst.
https://id.biodiversity.org.au/instance/lichen/30052773	Parmelia subrudecta var. australica Räsänen	taxonomic synonym	Punctelia subflava (Taylor) Elix & J.Johnst.
