ID	nameID	accordingToID	parentID	remarks
https://id.biodiversity.org.au/instance/lichen/30043048	https://id.biodiversity.org.au/name/lichen/30016467	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043049	https://id.biodiversity.org.au/name/lichen/30016468	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043050	https://id.biodiversity.org.au/name/lichen/30016469	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043051	https://id.biodiversity.org.au/name/lichen/30016470	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043052	https://id.biodiversity.org.au/name/lichen/30016471	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30047241	https://id.biodiversity.org.au/name/lichen/30020674	https://id.biodiversity.org.au/reference/lichen/30016183	https://id.biodiversity.org.au/instance/lichen/30047238	
https://id.biodiversity.org.au/instance/lichen/30043053	https://id.biodiversity.org.au/name/lichen/30016472	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30047242	https://id.biodiversity.org.au/name/lichen/30020675	https://id.biodiversity.org.au/reference/lichen/30016183	https://id.biodiversity.org.au/instance/lichen/30047238	
https://id.biodiversity.org.au/instance/lichen/30231234	https://id.biodiversity.org.au/name/lichen/30231230	https://id.biodiversity.org.au/reference/lichen/30204415	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043054	https://id.biodiversity.org.au/name/lichen/30016473	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043055	https://id.biodiversity.org.au/name/lichen/30016474	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043056	https://id.biodiversity.org.au/name/lichen/30016475	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043057	https://id.biodiversity.org.au/name/lichen/30016476	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043058	https://id.biodiversity.org.au/name/lichen/30016477	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043059	https://id.biodiversity.org.au/name/lichen/30016478	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043060	https://id.biodiversity.org.au/name/lichen/30016479	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043061	https://id.biodiversity.org.au/name/lichen/30016480	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043062	https://id.biodiversity.org.au/name/lichen/30016481	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043063	https://id.biodiversity.org.au/name/lichen/30016482	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30047243	https://id.biodiversity.org.au/name/lichen/30020676	https://id.biodiversity.org.au/reference/lichen/30016183	https://id.biodiversity.org.au/instance/lichen/30047238	
https://id.biodiversity.org.au/instance/lichen/30043064	https://id.biodiversity.org.au/name/lichen/30016483	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043065	https://id.biodiversity.org.au/name/lichen/30016484	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043066	https://id.biodiversity.org.au/name/lichen/30016485	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043067	https://id.biodiversity.org.au/name/lichen/30016486	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
https://id.biodiversity.org.au/instance/lichen/30043068	https://id.biodiversity.org.au/name/lichen/30016487	https://id.biodiversity.org.au/reference/lichen/30005164	https://id.biodiversity.org.au/instance/lichen/30043030	
