ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	nomenclaturalCode	status	code
https://id.biodiversity.org.au/name/fungi/60020606	species	Acremonium curvulum W.Gams		Acremonium	curvulum		W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020607	species	Acremonium dichromosporum W.Gams & Sivasith.		Acremonium	dichromosporum		W.Gams & Sivasith.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020608	species	Acremonium falciforme (Carrion) W.Gams		Acremonium	falciforme		(Carrion) W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020610	species	Acremonium furcatum Moreau & R.Moreau ex W.Gams		Acremonium	furcatum		Moreau & R.Moreau ex W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020611	species	Acremonium fusidioides (Nicot) W.Gams		Acremonium	fusidioides		(Nicot) W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020613	species	Acremonium implicatum (J.C.Gilman & E.V.Abbott) W.Gams		Acremonium	implicatum		(J.C.Gilman & E.V.Abbott) W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020617	species	Acremonium kiliense Grütz		Acremonium	kiliense		Grütz	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020618	species	Acremonium macrocurvum Matsush.		Acremonium	macrocurvum		Matsush.	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020632	species	Acremonium murorum (Corda) W.Gams		Acremonium	murorum		(Corda) W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020619	species	Acremonium nigrosclerotium W.Gams		Acremonium	nigrosclerotium		W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020620	species	Acremonium persicinum (Nicot) W.Gams		Acremonium	persicinum		(Nicot) W.Gams	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60018795	species	Acremonium sagenomatis Stolk & Orr		Acremonium	sagenomatis		Stolk & Orr	botanical		botanical
https://id.biodiversity.org.au/name/fungi/60020622	species	Acremonium strictum W.Gams		Acremonium	strictum		W.Gams	botanical		botanical
