scientificNameID	scientificName	originalNameUsageID	originalNameUsage
https://id.biodiversity.org.au/name/fungi/60025228	Agaricus candolleanus Fr.	https://id.biodiversity.org.au/name/fungi/60074832	Agaricus violaceolamellatus DC.
https://id.biodiversity.org.au/name/fungi/60022551	Agaricus cepistipes Sowerby	https://id.biodiversity.org.au/name/fungi/60074672	Agaricus luteus With.
https://id.biodiversity.org.au/name/fungi/60024945	Agaricus chaetophyllus (Sacc.) Cooke	https://id.biodiversity.org.au/name/fungi/60024944	Pleurotus chaetophyllus Sacc.
https://id.biodiversity.org.au/name/fungi/60023571	Agaricus chalybeus Pers.	https://id.biodiversity.org.au/name/fungi/60074790	Agaricus columbarius Sowerby
https://id.biodiversity.org.au/name/fungi/60024098	Agaricus cincinnatus Fr.	https://id.biodiversity.org.au/name/fungi/60022457	Agaricus cristatus Alb. & Schwein.
https://id.biodiversity.org.au/name/fungi/60033438	Agaricus cinereus var. macrorhizus (Pers.) Fr.	https://id.biodiversity.org.au/name/fungi/60025155	Agaricus macrorhizus Pers.
https://id.biodiversity.org.au/name/fungi/60024579	Agaricus corticola Pers.	https://id.biodiversity.org.au/name/fungi/60074608	Agaricus corticalis Bull.
https://id.biodiversity.org.au/name/fungi/60022139	Agaricus devoniensis P.D.Orton	https://id.biodiversity.org.au/name/fungi/60022140	Psalliota arenicola Wakef. & A.Pearson
https://id.biodiversity.org.au/name/fungi/60025564	Agaricus dispersus Fr.	https://id.biodiversity.org.au/name/fungi/60025380	Agaricus marginatus Batsch
https://id.biodiversity.org.au/name/fungi/60030137	Agaricus emeticus Schaeff.	https://id.biodiversity.org.au/name/fungi/60023948	Agaricus russula Schaeff.
https://id.biodiversity.org.au/name/fungi/60025575	Agaricus ericaeus Pers.	https://id.biodiversity.org.au/name/fungi/60074420	Agaricus helvolus Schaeff.
https://id.biodiversity.org.au/name/fungi/60023958	Agaricus ericetorum Pers.	https://id.biodiversity.org.au/name/fungi/60074559	Agaricus nothus J.F.Gmel.
https://id.biodiversity.org.au/name/fungi/60024315	Agaricus erythropus Pers.	https://id.biodiversity.org.au/name/fungi/60074784	Agaricus repens Bull.
https://id.biodiversity.org.au/name/fungi/60025244	Agaricus fatuus (Fr.) Fr.	https://id.biodiversity.org.au/name/fungi/60074880	Agaricus stipatus var. fatuus Fr.
https://id.biodiversity.org.au/name/fungi/60033410	Agaricus filopes var. acutatus (Kalchbr. & F.Muell.) Cooke	https://id.biodiversity.org.au/name/fungi/60024549	Agaricus acutatus Kalchbr. & F.Muell.
