ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/ausmoss/10001791	species	Achrophyllum wattsii H.P.Ramsay		Achrophyllum	wattsii		H.P.Ramsay	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001615	genus	Achyrophyllum J.Shaw	Achyrophyllum				J.Shaw	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003265	species	Achyrophyllum aciculare (Brid.) J.Shaw		Achyrophyllum	aciculare		(Brid.) J.Shaw	botanical	
https://id.biodiversity.org.au/name/ausmoss/210490	species	Acolea stygia (Hook.f. & Taylor) Trevis.		Acolea	stygia		(Hook.f. & Taylor) Trevis.	botanical	
https://id.biodiversity.org.au/name/ausmoss/137741	family	Acrobolbaceae E.A.Hodgs.	Acrobolbaceae				E.A.Hodgs.	botanical	
https://id.biodiversity.org.au/name/ausmoss/135195	genus	Acrobolbus Nees	Acrobolbus				Nees	botanical	
https://id.biodiversity.org.au/name/ausmoss/209690	species	Acrobolbus cinerascens (Lehm. & Lindenb.) Bastow		Acrobolbus	cinerascens		(Lehm. & Lindenb.) Bastow	botanical	
https://id.biodiversity.org.au/name/ausmoss/135853	species	Acrobolbus cinerascens (Lehm. & Lindenb.) Schiffn.		Acrobolbus	cinerascens		(Lehm. & Lindenb.) Schiffn.	botanical	nom. superfl.
https://id.biodiversity.org.au/name/ausmoss/209689	form	Acrobolbus cinerascens f. attenuata Rodway		Acrobolbus	cinerascens	attenuata	Rodway	botanical	
https://id.biodiversity.org.au/name/ausmoss/135196	species	Acrobolbus concinnus (Mitt.) Grolle		Acrobolbus	concinnus		(Mitt.) Grolle	botanical	
https://id.biodiversity.org.au/name/ausmoss/210448	species	Acrobolbus cyaneus Herzog		Acrobolbus	cyaneus		Herzog	botanical	
https://id.biodiversity.org.au/name/ausmoss/209781	species	Acrobolbus ochrophyllus (Hook.f. & Taylor) R.M.Schust.		Acrobolbus	ochrophyllus		(Hook.f. & Taylor) R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/3752517	species	Acrobolbus pseudosaccatus (Grolle) Briscoe		Acrobolbus	pseudosaccatus		(Grolle) Briscoe	botanical	
https://id.biodiversity.org.au/name/ausmoss/211434	species	Acrobolbus saccatus (Hook.) Trevis.		Acrobolbus	saccatus		(Hook.) Trevis.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210866	species	Acrobolbus surculosus (Nees) Trevis.		Acrobolbus	surculosus		(Nees) Trevis.	botanical	
https://id.biodiversity.org.au/name/ausmoss/211435	species	Acrobolbus tenellus (Hook.f. & Taylor) Trevis.		Acrobolbus	tenellus		(Hook.f. & Taylor) Trevis.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210451	species	Acrobolbus unguiculata (Hook.f. & Taylor) Mitt.		Acrobolbus	unguiculata		(Hook.f. & Taylor) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001616	genus	Acroceratium Mitt.	Acroceratium				Mitt.	botanical	nom. inval.
https://id.biodiversity.org.au/name/ausmoss/10003266	species	Acroceratium auriculatum (Mont.) Mitt.		Acroceratium	auriculatum		(Mont.) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003267	species	Acroceratium cymbifolioides Müll.Hal. ex F.M.Bailey		Acroceratium	cymbifolioides		Müll.Hal. ex F.M.Bailey	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003268	species	Acroceratium politum (Hook.f. & Wilson) Mitt.		Acroceratium	politum		(Hook.f. & Wilson) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/137898	genus	Acrochila R.M.Schust.	Acrochila				R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/137899	species	Acrochila biserialis (Lehm. & Lindenb.) Grolle		Acrochila	biserialis		(Lehm. & Lindenb.) Grolle	botanical	
https://id.biodiversity.org.au/name/ausmoss/209793	species	Acrochila simpsonii (W.Martin & E.A.Hodgs.) R.M.Schust.		Acrochila	simpsonii		(W.Martin & E.A.Hodgs.) R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10153865	family	Acrocladiaceae Tangney, D. Quandt, Huttunen & M. Stech	Acrocladiaceae				Tangney, D. Quandt, Huttunen & M. Stech	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001300	genus	Acrocladium Mitt.	Acrocladium				Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003269	species	Acrocladium auriculatum (Mont.) Mitt.		Acrocladium	auriculatum		(Mont.) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001796	species	Acrocladium chlamydophyllum (Hook.f. & Wilson) Müll.Hal. & Broth.		Acrocladium	chlamydophyllum		(Hook.f. & Wilson) Müll.Hal. & Broth.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001797	species	Acrocladium cuspidatum (Hedw.) Lindb.		Acrocladium	cuspidatum		(Hedw.) Lindb.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003270	species	Acrocladium politum (Hook.f. & Wilson) Mitt.		Acrocladium	politum		(Hook.f. & Wilson) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001792	species	Acrocladium trichocladium Bosw.		Acrocladium	trichocladium		Bosw.	botanical	
https://id.biodiversity.org.au/name/ausmoss/121279	genus	Acrolejeunea (Spruce) Schiffn.	Acrolejeunea				(Spruce) Schiffn.	botanical	nom. cons.
https://id.biodiversity.org.au/name/ausmoss/125375	species	Acrolejeunea arcuata (Nees) Grolle & Gradst.		Acrolejeunea	arcuata		(Nees) Grolle & Gradst.	botanical	
https://id.biodiversity.org.au/name/ausmoss/241886	subspecies	Acrolejeunea arcuata (Nees) Grolle & Gradst. subsp. arcuata		Acrolejeunea	arcuata	arcuata		botanical	
https://id.biodiversity.org.au/name/ausmoss/241887	subspecies	Acrolejeunea arcuata subsp. gradsteinii M.A.M.Renner		Acrolejeunea	arcuata	gradsteinii	M.A.M.Renner	botanical	
https://id.biodiversity.org.au/name/ausmoss/137823	species	Acrolejeunea aulacophora (Mont.) Steph.		Acrolejeunea	aulacophora		(Mont.) Steph.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210039	species	Acrolejeunea cristiloba Steph.		Acrolejeunea	cristiloba		Steph.	botanical	
https://id.biodiversity.org.au/name/ausmoss/121280	species	Acrolejeunea pycnoclada (Taylor) Schiffn.		Acrolejeunea	pycnoclada		(Taylor) Schiffn.	botanical	
https://id.biodiversity.org.au/name/ausmoss/179420	subspecies	Acrolejeunea pycnoclada (Taylor) Schiffn. subsp. pycnoclada		Acrolejeunea	pycnoclada	pycnoclada		botanical	
https://id.biodiversity.org.au/name/ausmoss/122781	species	Acrolejeunea securifolia (Nees) Steph. & Watts		Acrolejeunea	securifolia		(Nees) Steph. & Watts	botanical	
https://id.biodiversity.org.au/name/ausmoss/140538	subspecies	Acrolejeunea securifolia subsp. hartmannii (Steph.) Gradst.		Acrolejeunea	securifolia	hartmannii	(Steph.) Gradst.	botanical	
https://id.biodiversity.org.au/name/ausmoss/209801	species	Acrolejeunea wildii Steph. ex Watts		Acrolejeunea	wildii		Steph. ex Watts	botanical	
https://id.biodiversity.org.au/name/ausmoss/207931	genus	Acrolophozia R.M.Schust.	Acrolophozia				R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/136038	genus	Acromastigum A.Evans	Acromastigum				A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/138159	species	Acromastigum anisostomum (Lehm. & Lindenb.) A.Evans		Acromastigum	anisostomum		(Lehm. & Lindenb.) A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/164993	species	Acromastigum cavifolium R.M.Schust.		Acromastigum	cavifolium		R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/122596	species	Acromastigum colensoanum (Mitt.) A.Evans ex Reimers		Acromastigum	colensoanum		(Mitt.) A.Evans ex Reimers	botanical	
https://id.biodiversity.org.au/name/ausmoss/199147	species	Acromastigum cunninghamii (Steph.) A.Evans		Acromastigum	cunninghamii		(Steph.) A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/121386	species	Acromastigum divaricatum (Gottsche, Lindenb. & Nees) A.Evans		Acromastigum	divaricatum		(Gottsche, Lindenb. & Nees) A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/164992	species	Acromastigum echinatiforme (De Not.) A.Evans		Acromastigum	echinatiforme		(De Not.) A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/123225	species	Acromastigum exiguum (Steph.) A.Evans		Acromastigum	exiguum		(Steph.) A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/249123	species	Acromastigum fumosum E.A.Br. & M.A.M.Renner		Acromastigum	fumosum		E.A.Br. & M.A.M.Renner	botanical	
https://id.biodiversity.org.au/name/ausmoss/241847	species	Acromastigum furcatifolium (Steph.) E.A.Br.		Acromastigum	furcatifolium		(Steph.) E.A.Br.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210590	species	Acromastigum integrifolium (Austin) A.Evans		Acromastigum	integrifolium		(Austin) A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/249122	species	Acromastigum interstisiale E.A.Br. & M.A.M.Renner		Acromastigum	interstisiale		E.A.Br. & M.A.M.Renner	botanical	
https://id.biodiversity.org.au/name/ausmoss/164994	species	Acromastigum mooreanum (Steph.) E.A.Hodgs.		Acromastigum	mooreanum		(Steph.) E.A.Hodgs.	botanical	
https://id.biodiversity.org.au/name/ausmoss/249124	species	Acromastigum prismaticale E.A.Br. & M.A.M.Renner		Acromastigum	prismaticale		E.A.Br. & M.A.M.Renner	botanical	
https://id.biodiversity.org.au/name/ausmoss/249121	species	Acromastigum tenax (Steph.) A.Evans		Acromastigum	tenax		(Steph.) A.Evans	botanical	
https://id.biodiversity.org.au/name/ausmoss/209818	species	Acromastigum verticale (Steph.) E.A.Hodgs.		Acromastigum	verticale		(Steph.) E.A.Hodgs.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001301	genus	Acroporium Mitt.	Acroporium				Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001793	species	Acroporium erythropodium (Hampe) Broth.		Acroporium	erythropodium		(Hampe) Broth.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10155347	species	Acroporium hyalinum (Schwägr.) Mitt.		Acroporium	hyalinum		(Schwägr.) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003271	species	Acroporium kerianum Broth.		Acroporium	kerianum		Broth.	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10005914	species	Acroporium lamprophyllum Mitt.		Acroporium	lamprophyllum		Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006666	variety	Acroporium lamprophyllum var. percaudatum (E.B.Bartram) B.C.Tan, H.P.Ramsay & W.B.Schofield		Acroporium	lamprophyllum	percaudatum	(E.B.Bartram) B.C.Tan, H.P.Ramsay & W.B.Schofield	botanical	
https://id.biodiversity.org.au/name/ausmoss/10005923	species	Acroporium microcladon (Dozy & Molk.) B.C.Tan		Acroporium	microcladon		(Dozy & Molk.) B.C.Tan	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006667	variety	Acroporium microcladon var. rhizogemmae B.C.Tan, W.B.Schofield & H.P.Ramsay		Acroporium	microcladon	rhizogemmae	B.C.Tan, W.B.Schofield & H.P.Ramsay	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006148	species	Acroporium percaudatum E.B.Bartram		Acroporium	percaudatum		E.B.Bartram	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001794	species	Acroporium rufum (Reinw. & Hornsch.) M.Fleisch.		Acroporium	rufum		(Reinw. & Hornsch.) M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001795	species	Acroporium scalarirete Dixon		Acroporium	scalarirete		Dixon	botanical	
https://id.biodiversity.org.au/name/ausmoss/10005931	species	Acroporium stramineum (Reinw. & Hornsch.) M.Fleisch.		Acroporium	stramineum		(Reinw. & Hornsch.) M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10005933	species	Acroporium strepsiphyllum (Mont.) B.C.Tan		Acroporium	strepsiphyllum		(Mont.) B.C.Tan	botanical	
https://id.biodiversity.org.au/name/ausmoss/175122	genus	Acroscyphella N.Kitag. & Grolle	Acroscyphella				N.Kitag. & Grolle	botanical	
https://id.biodiversity.org.au/name/ausmoss/175125	species	Acroscyphella phoenicorhiza (Grolle) N.Kitag. & Grolle		Acroscyphella	phoenicorhiza		(Grolle) N.Kitag. & Grolle	botanical	
https://id.biodiversity.org.au/name/ausmoss/234285	genus	Acroscyphus N.Kitag.	Acroscyphus				N.Kitag.	botanical	nom. illeg.
https://id.biodiversity.org.au/name/ausmoss/211167	genus	Acrostolia Dumort.	Acrostolia				Dumort.	botanical	
https://id.biodiversity.org.au/name/ausmoss/211168	species	Acrostolia eriocaula (Hook.) Dumort.		Acrostolia	eriocaula		(Hook.) Dumort.	botanical	
https://id.biodiversity.org.au/name/ausmoss/128456	family	Adelanthaceae Grolle	Adelanthaceae				Grolle	botanical	
https://id.biodiversity.org.au/name/ausmoss/133918	genus	Adelanthus Mitt.	Adelanthus				Mitt.	botanical	nom. cons.
https://id.biodiversity.org.au/name/ausmoss/136171	species	Adelanthus bisetulus (Steph.) Grolle		Adelanthus	bisetulus		(Steph.) Grolle	botanical	
https://id.biodiversity.org.au/name/ausmoss/211542	subspecies	Adelanthus decipiens subsp. aureocinctus R.M.Schust.		Adelanthus	decipiens	aureocinctus	R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/136671	species	Adelanthus falcatus (Hook.) Mitt.		Adelanthus	falcatus		(Hook.) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210033	species	Adelanthus gemmiparus (R.M.Schust.) E.A.Hodgs.		Adelanthus	gemmiparus		(R.M.Schust.) E.A.Hodgs.	botanical	
https://id.biodiversity.org.au/name/ausmoss/209823	species	Adelanthus humilis Steph.		Adelanthus	humilis		Steph.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210038	species	Adelanthus magellanicus (Lindenb.) Mitt.		Adelanthus	magellanicus		(Lindenb.) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210036	species	Adelanthus occlusus (Hook.f. & Taylor) Carrington		Adelanthus	occlusus		(Hook.f. & Taylor) Carrington	botanical	
https://id.biodiversity.org.au/name/ausmoss/10145586	genus	Aequatoriella Touw	Aequatoriella				Touw	botanical	
https://id.biodiversity.org.au/name/ausmoss/10145590	species	Aequatoriella bifaria (Bosch & Sande Lac.) Touw		Aequatoriella	bifaria		(Bosch & Sande Lac.) Touw	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001447	genus	Aerobryopsis M.Fleisch.	Aerobryopsis				M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003272	species	Aerobryopsis bauerae M.Fleisch.		Aerobryopsis	bauerae		M.Fleisch.	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003227	species	Aerobryopsis longissima (Dozy & Molk.) M.Fleisch.		Aerobryopsis	longissima		(Dozy & Molk.) M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003273	species	Aerobryopsis sigmatophylla Broth. & Watts		Aerobryopsis	sigmatophylla		Broth. & Watts	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10002281	species	Aerobryopsis wallichii (Brid.) M.Fleisch.		Aerobryopsis	wallichii		(Brid.) M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001617	genus	Aerobryum Dozy & Molk.	Aerobryum				Dozy & Molk.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003274	species	Aerobryum bauerae Müll.Hal.		Aerobryum	bauerae		Müll.Hal.	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/168679	genus	Aitonia G.Forst.	Aitonia				G.Forst.	botanical	nom. rej.
https://id.biodiversity.org.au/name/ausmoss/210979	species	Aitonia australis (Nees) Steph.		Aitonia	australis		(Nees) Steph.	botanical	
https://id.biodiversity.org.au/name/ausmoss/210980	species	Aitonia extensa Steph.		Aitonia	extensa		Steph.	botanical	
https://id.biodiversity.org.au/name/ausmoss/209762	genus	Alcicularia P.M.McCarthy	Alcicularia				P.M.McCarthy	botanical	orth. var.
https://id.biodiversity.org.au/name/ausmoss/209763	species	Alcicularia tenella P.M.McCarthy		Alcicularia	tenella		P.M.McCarthy	botanical	orth. var.
https://id.biodiversity.org.au/name/ausmoss/211280	species	Alicularia hasskarliana Nees		Alicularia	hasskarliana		Nees	botanical	
https://id.biodiversity.org.au/name/ausmoss/209746	species	Alicularia tenella Rodway		Alicularia	tenella		Rodway	botanical	
https://id.biodiversity.org.au/name/ausmoss/10144151	genus	Alleniella S.Olsson, Enroth & D.Quandt	Alleniella				S.Olsson, Enroth & D.Quandt	botanical	
https://id.biodiversity.org.au/name/ausmoss/10144153	species	Alleniella hymenodonta (Müll.Hal.) S.Olsson, Enroth & D.Quandt		Alleniella	hymenodonta		(Müll.Hal.) S.Olsson, Enroth & D.Quandt	botanical	
https://id.biodiversity.org.au/name/ausmoss/226989	genus	Allisonia Herzog	Allisonia				Herzog	botanical	
https://id.biodiversity.org.au/name/ausmoss/226988	family	Allisoniaceae Schljakov	Allisoniaceae				Schljakov	botanical	
https://id.biodiversity.org.au/name/ausmoss/209830	genus	Allisoniella E.A.Hodgs.	Allisoniella				E.A.Hodgs.	botanical	
