	ID	citation
4426	https://id.biodiversity.org.au/reference/ausmoss/45555	Grolle, R. (1960), Nova Hedwigia 2
4442	https://id.biodiversity.org.au/reference/ausmoss/45583	Gottsche, C.M. (1857), Annales des Sciences Naturelles; Botanique 8
4460	https://id.biodiversity.org.au/reference/ausmoss/51686	Stephani, F. (1904), Species Hepaticarum 2
4476	https://id.biodiversity.org.au/reference/ausmoss/45419	Gottsche, C.M. in Gottsche, C.M., Lindenberg, J.B.W. & Nees von Esenbeck, C.D.G. (1847), Synopsis Hepaticarum 5
4506	https://id.biodiversity.org.au/reference/ausmoss/45562	Lindenberg, J.B.W. in Lindenberg, J.B.W. & Gottsche, C.M. (1840), Species Hepaticarum 2-4
4551	https://id.biodiversity.org.au/reference/ausmoss/45545	Hodgson, E.A. (1965), Transactions of the Royal Society of New Zealand. Botany 3(4)
4576	https://id.biodiversity.org.au/reference/ausmoss/45344	Stephani, F. (1909), Species Hepaticarum 4
4577	https://id.biodiversity.org.au/reference/ausmoss/49570	He, Xiao L. & Glenny, D. (2010), Perssoniella and the genera of Schistochilaceae: a new classificaiton based on molecular phylogenies. Australian Systematic Botany 23(4)
4671	https://id.biodiversity.org.au/reference/ausmoss/45261	Gottsche, C.M., Lindenberg, J.B.W. & Nees von Esenbeck, C.D.G. (1845), Synopsis Hepaticarum 3
4681	https://id.biodiversity.org.au/reference/ausmoss/45359	Nees von Esenbeck, C.G.D. in Gottsche, C.M., Lindenberg, J.B.W. & Nees von Esenbeck, C.D.G. (1845), Synopsis Hepaticarum 3
4700	https://id.biodiversity.org.au/reference/ausmoss/45172	Sande Lacoste, C.M. van der (1853), Nederlandsch Kruidkundig Archief 3
4711	https://id.biodiversity.org.au/reference/ausmoss/45105	Stephani, F. (1889), Hepaticae Australiae. Hedwigia 28
4736	https://id.biodiversity.org.au/reference/ausmoss/51647	Gottsche, C.M. in Gottsche, C.M., Lindenberg, J.B.W. & Nees von Esenbeck, C.D.G. (1846), Synopsis Hepaticarum 4
4743	https://id.biodiversity.org.au/reference/ausmoss/45141	Dumortier, B.C.J. (1822), Commentationes Botanicae
4745	https://id.biodiversity.org.au/reference/ausmoss/45729	Pócs, T. & Cairns, A. (2008), Contributions to the bryoflora of Australia, III. The genus Jubula Dumort., with the description of J. hutchinsiae Hook. subsp. nov. australiae (Jubulaceae, Jungermanniopsida). Nova Hedwigia 86(1-2)
4763	https://id.biodiversity.org.au/reference/ausmoss/45826	Gradstein, S.R. (1975), Bryophytorum Bibliotheca 4
4765	https://id.biodiversity.org.au/reference/ausmoss/45164	Pócs, T. (1984), Journal of the Hattori Botanical Laboratory 55
4775	https://id.biodiversity.org.au/reference/ausmoss/45739	"Pócs, T. (2006), Contributions to the Bryoflora of Australia, II. On the Australasian ""Tummaelloideae"" (Lejeuneaceae), with the description of Austrolejeunea occidentalis. Journal of the Hattori Botanical Laboratory 99"
4795	https://id.biodiversity.org.au/reference/ausmoss/45240	Stephani, F. (1913), Species Hepaticarum 5
4802	https://id.biodiversity.org.au/reference/ausmoss/51651	Renner, M.A.M. & Glenny, D. (2003), A new Cheilolejeunea (Marchantiopsida: Lejeunaceae) from montane forests in New Zealand. Journal of Bryology 25(3)
4809	https://id.biodiversity.org.au/reference/ausmoss/45735	Zhu, R.L. & Lai, M.J. (2005), Cheilolejeunea decursiva (Sande Lac.) R. M Schust and C. ventricosa (Schiffn.) X. L He (Lejeuneaceae, Hepaticae) new to Australia. Journal of the Hattori Botanical Laboratory 98
4819	https://id.biodiversity.org.au/reference/ausmoss/45255	Mizutani, M. (1963), Journal of the Hattori Botanical Laboratory 26
4852	https://id.biodiversity.org.au/reference/ausmoss/51653	Pócs, T. & Ninh, T. (2005), Acta Botanica Hungarica 47
4863	https://id.biodiversity.org.au/reference/ausmoss/40526	Schiffner, V. in Engler, H.G.A. & Prantl, K.A.E. (1893), Hepaticae. Die Naturlichen Pflanzenfamilien 1(3)
4901	https://id.biodiversity.org.au/reference/ausmoss/51660	Pócs, T. & Bernecker, A. (2009), Overview of Aphanolejeunea (Jungermanniopsida) after 25 years. Polish Botanical Journal 54(1)
4903	https://id.biodiversity.org.au/reference/ausmoss/45746	Pócs, T. & Streimann, H. (2006), Contributions to the bryoflora of Australia I. Tropical Bryology 27
4944	https://id.biodiversity.org.au/reference/ausmoss/49445	Stephani, F. (1902), Botanisk Tidsskrift 24
4962	https://id.biodiversity.org.au/reference/ausmoss/45322	Jovet-Ast, S. (1953), Revue Bryologique et Lichenologique 22
4966	https://id.biodiversity.org.au/reference/ausmoss/45148	Stephani, F. (1916), Species Hepaticarum 5
4978	https://id.biodiversity.org.au/reference/ausmoss/45692	Goebel, K.I.E. (1890), IV. Ueber Javanische Lebermoose. Annales de Jardin Botanique de Buitenzorg 9
5080	https://id.biodiversity.org.au/reference/ausmoss/45495	Schuster, R.M. (1980), New combinations and taxa of Hepaticae, I. Phytologia 45(5)
5090	https://id.biodiversity.org.au/reference/ausmoss/49453	Yang, J.-D. & Lin, S.-H. (2008), Leptolejeunea picta Herz., a Liverwort New to Taiwan. Taiwania 53(3)
5106	https://id.biodiversity.org.au/reference/ausmoss/45316	Schiffner, V. (1897), Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 23
5111	https://id.biodiversity.org.au/reference/ausmoss/45308	Schiffner, V. (1898), Conspectus Hepaticarum Archipelagi Indici
5163	https://id.biodiversity.org.au/reference/ausmoss/45345	Grolle, R. (1979), Journal of the Hattori Botanical Laboratory 45
5171	https://id.biodiversity.org.au/reference/ausmoss/45647	Gradstein, S.R. (1974), Journal of the Hattori Botanical Laboratory 38
5184	https://id.biodiversity.org.au/reference/ausmoss/45187	Schuster, R.M. (1963), Beihefte zur Nova Hedwigia 9
5187	https://id.biodiversity.org.au/reference/ausmoss/45669	Verdoorn, F. (1934), Annales Bryologici Supplement 4
5206	https://id.biodiversity.org.au/reference/ausmoss/45672	Jones, E.W. (1976), Journal of Bryology 9
5220	https://id.biodiversity.org.au/reference/ausmoss/51677	Hattori, S. (1951), Botanical Magazine (Tokyo) 64
5300	https://id.biodiversity.org.au/reference/ausmoss/51688	Hodgson, E.A. & Allison, K.W. (1944), Transactions and Proceedings of the Royal Society of New Zealand 74
5301	https://id.biodiversity.org.au/reference/ausmoss/45588	Mitten, W. (1861), Bonplandia 9
5348	https://id.biodiversity.org.au/reference/ausmoss/45616	Hewson, H.J. (1970), The family Aneuraceae in Australia and New Guinea: II. the genus Riccardia. Proceedings of the Linnean Society of New South Wales 95
5414	https://id.biodiversity.org.au/reference/ausmoss/45306	Schiffner, V. (1893), Nova Acta Academiae Caesareae Leopoldino-Carolinae Germanicae Naturae Curiosorum. Verhandlungen der Kaiserlich Leopoldinisch-Carolinischen Deutschen Akademie der Naturforscher 60
5672	https://id.biodiversity.org.au/reference/ausmoss/22411	Linnaeus, C. (1753), Species Plantarum 2
5713	https://id.biodiversity.org.au/reference/ausmoss/45633	Muller, K. (1941), Hedwigia 80
5730	https://id.biodiversity.org.au/reference/ausmoss/45559	Stephani, F. (1898), Bulletin de l'Herbier Boissier 6
